strain	date	region	country	is_lab_host	host	genbank_accession	authors
India/PP_000R148.3/2019-01-01	2019-05-28	Asia	India		Homo sapiens	MN866163.1	Sahay, R. R.; Dhandore, S.; Yadav, P. D.; Chauhan, A.; Bhatt, L.; Garg, V.; Gupta, N.; Nyayanit, D. A.; Shete, A. M.; Singh, R.; Patil, S.; Sharma, H.; Meena, D.; Gupta, J.; Gawande, P.; Kalele, K.; Jain, R.; Mali, D.; Malhotra, B.; Nag, V.; Khatri, P. K.; Kaur, H.; Vijay, N.; Singh, S.; Gopalakrishnan, M.; Yadav, P.
India/PP_000R164.3/2019-01-01	2019-05-28	Asia	India		Homo sapiens	MN866166.1	Sahay, R. R.; Dhandore, S.; Chauhan, A.; Bhatt, L.; Garg, V.; Gupta, N.; Nyayanit, D. A.; Shete, A. M.; Singh, R.; Patil, S.; Sharma, H.; Meena, D.; Gawande, P.; Kalele, K.; Jain, R.; Mali, D.; Malhotra, B.; Nag, V.; Kaur, H.; Singh, N.; Singh, S.; Gopalkrishnan, M.; Yadav, P. D.; Yadav, P.
India/PP_000R180.3/2019-01-01	2019-05-28	Asia	India		Homo sapiens	MN866171.1	Sahay, R. R.; Dhandore, S.; Chauhan, A.; Bhatt, L.; Garg, V.; Gupta, N.; Nyayanit, D. A.; Shete, A. M.; Singh, R.; Patil, S.; Sharma, H.; Meena, D.; Gawande, P.; Kalele, K.; Jain, R.; Mali, D.; Malhotra, B.; Nag, V.; Kaur, H.; Singh, N.; Singh, S.; Gopalkrishnan, M.; Yadav, P. D.; Yadav, P.
India/PP_000R19Y.3/2019-01-01	2019-05-28	Asia	India		Homo sapiens	MN866175.1	Sahay, R. R.; Dhandore, S.; Chauhan, A.; Bhatt, L.; Garg, V.; Gupta, N.; Nyayanit, D. A.; Shete, A. M.; Singh, R.; Patil, S.; Sharma, H.; Meena, D.; Gawande, P.; Kalele, K.; Jain, R.; Mali, D.; Malhotra, B.; Nag, V.; Kaur, H.; Singh, N.; Singh, S.; Gopalkrishnan, M.; Yadav, P. D.; Yadav, P.
India/PP_000R1BU.3/2019-01-01	2019-05-28	Asia	India		Homo sapiens	MN866178.1	Sahay, R. R.; Dhandore, S.; Chauhan, A.; Bhatt, L.; Garg, V.; Gupta, N.; Nyayanit, D. A.; Shete, A. M.; Singh, R.; Patil, S.; Sharma, H.; Meena, D.; Gawande, P.; Kalele, K.; Jain, R.; Mali, D.; Malhotra, B.; Nag, V.; Kaur, H.; Singh, N.; Singh, S.; Gopalkrishnan, M.; Yadav, P. D.; Yadav, P.
India/PP_000R1CS.3/2019-01-01	2019-05-28	Asia	India		Homo sapiens	MN866181.1	Sahay, R. R.; Dhandore, S.; Chauhan, A.; Bhatt, L.; Garg, V.; Gupta, N.; Nyayanit, D. A.; Shete, A. M.; Singh, R.; Patil, S.; Sharma, H.; Meena, D.; Gawande, P.; Kalele, K.; Jain, R.; Mali, D.; Malhotra, B.; Nag, V.; Kaur, H.; Singh, N.; Singh, S.; Gopalkrishnan, M.; Yadav, P. D.; Yadav, P.
India/PP_000R1GJ.3/2019-01-01	2019-05-28	Asia	India		Ixodoidea	MN866190.1	Sahay, R. R.; Dhandore, S.; Yadav, P. D.; Chauhan, A.; Bhatt, L.; Garg, V.; Gupta, N.; Nyayanit, D. A.; Shete, A. M.; Singh, R.; Patil, S.; Sharma, H.; Meena, D.; Gupta, J.; Gawande, P.; Kalele, K.; Jain, R.; Mali, D.; Malhotra, B.; Nag, V.; Khatri, P. K.; Kaur, H.; Vijay, N.; Singh, S.; Gopalakrishnan, M.; Yadav, P.
India/PP_000R1HF.3/2019-01-01	2019-05-28	Asia	India		Ixodoidea	MN866194.1	Sahay, R. R.; Dhandore, S.; Yadav, P. D.; Chauhan, A.; Bhatt, L.; Garg, V.; Gupta, N.; Nyayanit, D. A.; Shete, A. M.; Singh, R.; Patil, S.; Sharma, H.; Meena, D.; Gupta, J.; Gawande, P.; Kalele, K.; Jain, R.; Mali, D.; Malhotra, B.; Nag, V.; Khatri, P. K.; Kaur, H.; Vijay, N.; Singh, S.; Gopalakrishnan, M.; Yadav, P.
India/PP_000R1JD.3/2019-01-01	2019-05-28	Asia	India		Ixodoidea	MN866195.1	Sahay, R. R.; Dhandore, S.; Yadav, P. D.; Chauhan, A.; Bhatt, L.; Garg, V.; Gupta, N.; Nyayanit, D. A.; Shete, A. M.; Singh, R.; Patil, S.; Sharma, H.; Meena, D.; Gupta, J.; Gawande, P.; Kalele, K.; Jain, R.; Mali, D.; Malhotra, B.; Nag, V.; Khatri, P. K.; Kaur, H.; Vijay, N.; Singh, S.; Gopalakrishnan, M.; Yadav, P.
India/PP_000R1M7.3/2019-01-01	2019-05-28	Asia	India		Ixodoidea	MN866202.1	Sahay, R. R.; Dhandore, S.; Yadav, P. D.; Chauhan, A.; Bhatt, L.; Garg, V.; Gupta, N.; Nyayanit, D. A.; Shete, A. M.; Singh, R.; Patil, S.; Sharma, H.; Meena, D.; Gupta, J.; Gawande, P.; Kalele, K.; Jain, R.; Mali, D.; Malhotra, B.; Nag, V.; Khatri, P. K.; Kaur, H.; Vijay, N.; Singh, S.; Gopalakrishnan, M.; Yadav, P.
